CUENTA,DEBITO,CREDITO,DECRIPCION,CENTRO DE COSTO,USUARIO 1,USUARIO 2,TERCERO,PROYECTO 
3.1.01.01.02,15952.92,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.01.01.03,15952.92,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.01.01.04,15952.92,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.02.01.01,15579.1,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.01,126341.79,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.02,123334.77,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.05,61351.8,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.06,13821.59,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.07,87837.47,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.04.01.03,128206.08,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.03,,49.29,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.02.01,,5283.44,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.01,,137414.82,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.03,,5968.86,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.04,,1627.34,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.05,,852551.18,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.07,,20493.21,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.08,,210217.81,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.10,,50399.89,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.02.01.11,,81326.07,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.06.02.02,,390.25,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.03,,84795.47,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.04,,63135.03,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
3.1.03.01.08,,76232.48,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
